user_id,bots_created,first_bot_created,last_bot_created,bot_ids,bot_names
36879844,9,2025-09-05 00:47:33.162023,2025-10-03 17:07:54.983463,"1963645116371689472,1965055534910550016,1965087993503596544,1967973364818440192,1968642919865352192,1972280860135890944,1973328627246301184,1974025639495204864,1974038693215473664",aaaproductmockup_bot | influencerstyle_bot | aaayoutubethumbnail_bot | trymychecklist_bot | aaacomic_bot | ismyexpensetracker_bot | OverthinkerProBot | AITarrotBot | myshellTLDRBot
38410758,7,2025-09-30 00:05:24.991807,2025-10-05 13:01:31.267913,"1972694209100886016,1973023255641575424,1973029369334583296,1973388450049773568,1973761770499362816,1974427421370437632,1974701461545680896",LinkedIn_Post_Helper_Bot | NovaQuinn_bot | X2LinkedInPostTransformer_bot | BestLinkedInPostGenerator_Bot | XtoLinkedInPostTransformer_Bot | XtoVideoScriptTransformer_Bot | xPostGenerator_Bot
36883054,6,2025-09-04 15:58:47.432271,2025-09-10 13:47:11.209774,"1963512049019944960,1963934567122939904,1965590405801730048,1965638345393012736,1965638415078838272,1965653257055555584",ShellAgent_Test_bot | Nanobanana_ootd_bot | shellgame_test_bot | Typo_checker_bot | tradingview_plugin_bot | lan_learning_podcast_bot
36939839,6,2025-09-22 23:01:47.610447,2025-10-23 10:28:38.745867,"1970141482784997376,1971146371180429312,1971146596854956032,1971389564606001152,1972682978826645504,1981185970781966336",dows18bot | dows19bot | dows20bot | dows16bot | dows15bot | dows17bot
37148573,5,2025-09-10 20:51:45.599691,2025-09-22 10:20:16.389142,"1965760104392110080,1967092256089919488,1967146614907293696,1967147136710508544,1969949839911841792",Hook_Generator_Bot | Tweet_scanner_bot | XtoLI1_bot | litox12_bot | nanobanana_ad_generator_bot
38410836,5,2025-10-09 00:30:04.753175,2025-10-14 23:34:25.929273,"1975961906457870336,1976171108337733632,1976332840565166080,1976335641823956992,1978122229607768064",X_Rival_Analysis_bot | Ins_Rival_Analyzer_bot | TikTok_Rival_Analyzer_bot | Youtube_Rival_Analyzer_bot | Veooooo3_bot
38436465,4,2025-09-30 15:25:38.873489,2025-10-07 20:09:53.851807,"1972925792904744960,1974011254578225152,1975400765027258368,1975534041726930944",Vertical_Thumbnail_Generator_Bot | Topic_Generator_bot | Viral_Idea_Spark_Bot | X_Rival_Analyzer_Bot
38410475,4,2025-09-30 10:59:06.426464,2025-10-04 12:02:53.255213,"1972858715723681792,1972920863489413120,1973017257521455104,1974324318065922048",BRoll_Generator_Bot | CRBLongCopytoShortCopy_bot | CRBVideotoCopy_bot | CRBLongVideotoShortVideo_Bot
36878910,3,2025-09-12 16:54:07.315721,2025-09-24 20:43:05.429283,"1966425076544557056,1968155069391970304,1970831352754946048",RemixTEST123Bot | TestShellAgentBTCBot | TetridsffdsfdssdafdsfsBot
38412762,3,2025-09-30 11:32:09.708936,2025-10-02 08:54:10.745760,"1972867034209599488,1972924117790076928,1973552052286136320",Aillen_XHook_bot | YouTube_Video_Text_Bot | CarouselPostBot
38411463,3,2025-09-30 14:39:49.776984,2025-10-05 21:30:46.530998,"1972914262356201472,1974829235436261376,1974829619605544960",CfMemeBot | CFYoutuberBot | CFLinkedinPostBot
38066742,3,2025-09-22 16:44:49.489870,2025-10-02 17:38:32.791394,"1970046615507873792,1973537244014448640,1973684013669285888",myshell_thumbmaker_bot | myshell_vertical_thumbnail_bot | youtube_clickbait_title_bot
36945560,3,2025-09-05 15:33:04.589159,2025-09-08 17:13:35.524628,"1963867965729783808,1963951360939995136,1964980424905437184",dowsa06bot | LittleRain07bot | dowsa01bot
330325,3,2025-09-03 21:57:06.980880,2025-09-23 18:00:32.690726,"1963239836796162048,1965678622773239808,1970428058941341696",myshell_prod_01_bot | ShellMyTestBot | tg2applocalbot
36880251,2,2025-09-04 12:04:22.805249,2025-09-04 12:12:11.405023,"1963453057694466048,1963455023146881024",xiaolei0904bot | xiaolei090402bot
38527922,1,2025-10-04 01:40:58.463127,2025-10-04 01:40:58.463127,1974167808480382976,ShellAgent_Playground_Bot
38945267,1,2025-10-19 03:49:41.911855,2025-10-19 03:49:41.911855,1979636020951977984,ShellAgent_Playground_Bot
39132106,1,2025-10-23 15:42:40.223566,2025-10-23 15:42:40.223566,1981264997659238400,ShellAgent_Playground_Bot
39159831,1,2025-10-24 12:11:04.780135,2025-10-24 12:11:04.780135,1981574136971788288,ShellAgent_Playground_Bot
39227398,1,2025-10-26 07:36:27.203863,2025-10-26 07:36:27.203863,1982229800741097472,ShellAgent_Playground_Bot
39230842,1,2025-10-26 10:49:32.640543,2025-10-26 10:49:32.640543,1982278393584103424,ShellAgent_Playground_Bot
