user_id,first_usage,bots_used,messages_sent,first_creation,bots_created,hours_to_conversion,days_to_conversion
36939839,2025-10-27 14:59:47.810775,1,38,2025-09-22 23:01:47.610447,6,-831,-34
330325,2025-09-13 15:08:13.577728,2,3,2025-09-03 21:57:06.980880,3,-233,-9
36880251,2025-09-13 11:41:33.787289,2,6,2025-09-04 12:04:22.805249,2,-215,-8
36883054,2025-09-13 12:39:02.872075,1,2,2025-09-04 15:58:47.432271,6,-212,-8
36879844,2025-09-13 10:52:05.576193,8,213,2025-09-05 00:47:33.162023,9,-202,-8
36945560,2025-09-13 11:30:39.395888,1,2,2025-09-05 15:33:04.589159,3,-187,-7
38436465,2025-10-07 11:35:15.049008,1,46,2025-09-30 15:25:38.873489,4,-164,-6
38411463,2025-10-06 08:55:47.240005,1,6,2025-09-30 14:39:49.776984,3,-138,-5
39132106,2025-10-28 20:34:20.174970,1,2,2025-10-23 15:42:40.223566,1,-124,-5
39159831,2025-10-28 13:43:44.202258,1,2,2025-10-24 12:11:04.780135,1,-97,-4
38412762,2025-10-03 20:08:28.335562,1,11,2025-09-30 11:32:09.708936,3,-80,-3
38410758,2025-10-01 18:40:26.103208,4,675,2025-09-30 00:05:24.991807,7,-42,-1
36878910,2025-09-13 12:59:41.774954,2,44,2025-09-12 16:54:07.315721,3,-20,0
38066742,2025-09-22 19:34:46.958225,1,2400,2025-09-22 16:44:49.489870,3,-2,0
38410836,2025-10-09 00:46:43.078912,1,87,2025-10-09 00:30:04.753175,5,0,0
38527922,2025-10-04 01:32:33.468691,1,2,2025-10-04 01:40:58.463127,1,0,0
37148573,2025-09-10 21:03:08.502086,1,44,2025-09-10 20:51:45.599691,5,0,0
39227398,2025-10-26 07:29:27.969909,1,36,2025-10-26 07:36:27.203863,1,0,0
39230842,2025-10-26 10:42:53.507196,3,43,2025-10-26 10:49:32.640543,1,0,0
38410475,2025-09-30 02:31:31.608893,3,129,2025-09-30 10:59:06.426464,4,8,0
38945267,2025-10-18 19:39:44.588982,2,58,2025-10-19 03:49:41.911855,1,8,0
